Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Ispaghol 500mg SR-2243,Sami,500mg,Powder,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",497
Zestril 10mg SR-2244,Searle,10mg,Tablet,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",729
Tusdec 250mg SR-2245,GSK,250mg,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",1002
Fucidin 250mg/5ml SR-2246,Martin Dow,250mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,295
Lowplat 30g SR-2247,GSK,30g,Capsule,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",297
Surbex-Z 15g SR-2248,Martin Dow,15g,Capsule,Tablets/Capsules,Multivitamin and mineral supplement to correct nutritional deficiencies and boost immunity.,None under recommended daily allowance.,1111
Skinoren 30g SR-2249,Sami,30g,Cream,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",1474
Ennerzo 10mg SR-2250,Pfizer,10mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",57
Acetone 20mg SR-2251,Sanofi,20mg,Suspension,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,773
Calpol 15g SR-2252,Abbott,15g,Capsule,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,230
Selsun Blue 30g SR-2253,Bayer,30g,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,427
Mobic Gel 10s SR-2254,Pfizer,10s,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1444
Brufen Syrup 30g SR-2255,GSK,30g,Suspension,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,960
Acetone 15g SR-2256,Getz Pharma,15g,Suspension,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,1170
Hydrocortisone 1g SR-2257,Pfizer,1g,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,382
Zestril 1g SR-2258,Pfizer,1g,Capsule,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",164
Xanax 20g SR-2259,Sanofi,20g,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",1490
Acetone 10s SR-2260,Getz Pharma,10s,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,690
Somogel 1g SR-2261,Bayer,1g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,441
Voltral Gel 500mg SR-2262,Ferozsons,500mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,691
Hydrozole 30g SR-2263,Barrett Hodgson,30g,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,953
Sancos 250mg SR-2264,Ferozsons,250mg,Suspension,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,171
Smecta 10mg SR-2265,Getz Pharma,10mg,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,471
Betnovate-N 15g SR-2266,Bosch,15g,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1366
Acefyl 40mg SR-2267,Ferozsons,40mg,Syrup,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,530
Zovirax 1g SR-2268,Pfizer,1g,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1034
Gaviscon 5ml SR-2269,Getz Pharma,5ml,Suspension,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,775
Gaviscon 20mg SR-2270,Bosch,20mg,Suspension,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,721
Voltral Gel 50s SR-2271,Bayer,50s,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,555
Gaviscon 40mg SR-2272,Novartis,40mg,Syrup,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,469
Klaricid 30s SR-2273,Bosch,30s,Tablet,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",460
Polyfax 20g SR-2274,PharmEvo,20g,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,293
Xanax 50mg SR-2275,Ferozsons,50mg,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",942
Ispaghol 1g SR-2276,Novartis,1g,Powder,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",371
Hydrozole 250mg/5ml SR-2277,Hilton,250mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,57
Betnovate-N 50s SR-2278,Getz Pharma,50s,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1321
Entamizole 100mg SR-2279,Getz Pharma,100mg,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",781
Velo 20g SR-2280,Martin Dow,20g,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",505
Hydrocortisone 250mg SR-2281,Novartis,250mg,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1395
Dermovate 1g SR-2282,Hilton,1g,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",433
Azomax 10s SR-2283,Bosch,10s,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",798
Acefyl 500mg SR-2284,Getz Pharma,500mg,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1278
Canesten 50s SR-2285,Sami,50s,Gel,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1378
Sancos 40mg SR-2286,PharmEvo,40mg,Syrup,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,109
Tusdec 50s SR-2287,Ferozsons,50s,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",884
Fucidin 40mg SR-2288,Pfizer,40mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,533
Pulmonol 1g SR-2289,PharmEvo,1g,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,318
Zovirax 1g SR-2290,Sami,1g,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,280
Dermovate 250mg SR-2291,Martin Dow,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",648
Cranmax 500mg/5ml SR-2292,Sami,500mg/5ml,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,469
Instaflex 1g SR-2293,GSK,1g,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1384
Fucidin 10mg SR-2294,Sami,10mg,Gel,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,728
Cravit 250mg/5ml SR-2295,Barrett Hodgson,250mg/5ml,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",531
Cravit 10s SR-2296,Bosch,10s,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1265
Brufen 500mg/5ml SR-2297,Pfizer,500mg/5ml,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",550
Acetone 20s SR-2298,Barrett Hodgson,20s,Suspension,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,1312
Cranmax 30s SR-2299,Getz Pharma,30s,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,82
Cac-1000 100mg SR-2300,Pfizer,100mg,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,366
Canesten 15g SR-2301,Searle,15g,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,282
Amoxil 250mg SR-2302,Sanofi,250mg,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",242
Glucophage 50s SR-2303,Getz Pharma,50s,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",701
Ispaghol 30g SR-2304,Sanofi,30g,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1318
Entamizole 10s SR-2305,Searle,10s,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",205
Ventolin 15g SR-2306,Sanofi,15g,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",431
Dermovate 500mg SR-2307,Getz Pharma,500mg,Cream,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",1444
Velo 5ml SR-2308,Abbott,5ml,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",419
Smecta 20g SR-2309,GSK,20g,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,476
Panadol 500mg/5ml SR-2310,Pfizer,500mg/5ml,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,1406
Betnovate-N 40mg SR-2311,Novartis,40mg,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1453
Loprin 250mg/5ml SR-2312,Sanofi,250mg/5ml,Capsule,Tablets/Capsules,"Low-dose aspirin to prevent platelet aggregation, heart attacks, and blood clots.",Mild indigestion or increased bleeding tendency.,845
Fesovit 100mg SR-2313,Sami,100mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,218
Polyfax 15g SR-2314,Bosch,15g,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,867
Polyfax 10mg SR-2315,Bosch,10mg,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,161
Bonjela 15g SR-2316,Sanofi,15g,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,681
Calpol 1g SR-2317,Bosch,1g,Capsule,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,1140
Cravit 30s SR-2318,Searle,30s,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",544
Bonjela 20s SR-2319,Martin Dow,20s,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,793
Selsun Blue 20g SR-2320,Getz Pharma,20g,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,210
Calpol Syrup 5ml SR-2321,Ferozsons,5ml,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,618
Betnovate-N 15g SR-2322,Barrett Hodgson,15g,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",437
Selsun Blue 20s SR-2323,Abbott,20s,Gel,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,935
Canesten 20mg SR-2324,Sanofi,20mg,Gel,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,96
Xanax 30g SR-2325,Pfizer,30g,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",920
Cranmax 10s SR-2326,Pfizer,10s,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,63
Hydryllin 100mg SR-2327,Ferozsons,100mg,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",419
Xanax 1g SR-2328,PharmEvo,1g,Tablet,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",235
Cravit 20s SR-2329,Searle,20s,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",284
Zestril 15g SR-2330,Abbott,15g,Capsule,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",1142
Loprin 500mg/5ml SR-2331,Searle,500mg/5ml,Tablet,Tablets/Capsules,"Low-dose aspirin to prevent platelet aggregation, heart attacks, and blood clots.",Mild indigestion or increased bleeding tendency.,139
Septran 1g SR-2332,Barrett Hodgson,1g,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",395
Hydryllin 50mg SR-2333,Sami,50mg,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",602
Mucaine 1g SR-2334,GSK,1g,Suspension,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",826
Hydrozole 1g SR-2335,Sanofi,1g,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,804
Fucidin 20s SR-2336,Barrett Hodgson,20s,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,1080
Dermovate 40mg SR-2337,Sami,40mg,Gel,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",769
Bonjela 250mg SR-2338,GSK,250mg,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,655
Klaricid 500mg/5ml SR-2339,Ferozsons,500mg/5ml,Tablet,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",152
Lowplat 50mg SR-2340,Getz Pharma,50mg,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",666
Canesten 40mg SR-2341,Bosch,40mg,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,486
Acefyl 1g SR-2342,GSK,1g,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1380
Amoxil 40mg SR-2343,Martin Dow,40mg,Capsule,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",381
Ispaghol 1g SR-2344,GSK,1g,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",497
Cranmax 20s SR-2345,Hilton,20s,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,1153
Lipiget 30s SR-2346,PharmEvo,30s,Capsule,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",633
Septran 1g SR-2347,Getz Pharma,1g,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",319
Acefyl 10mg SR-2348,Ferozsons,10mg,Syrup,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,194
Mobic Gel 20mg SR-2349,Novartis,20mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,907
Dalacin-T 30g SR-2350,Novartis,30g,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,154
Entamizole 500mg SR-2351,PharmEvo,500mg,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",335
Brufen 10mg SR-2352,GSK,10mg,Tablet,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",1104
Gravinate 30g SR-2353,PharmEvo,30g,Suspension,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",1015
Cravit 5ml SR-2354,Martin Dow,5ml,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1030
Smecta 30s SR-2355,Hilton,30s,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,991
Instaflex 1g SR-2356,Sami,1g,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1050
Ennerzo 40mg SR-2357,Hilton,40mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",236
Klaricid 30g SR-2358,Barrett Hodgson,30g,Capsule,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",808
Zestril 5ml SR-2359,Getz Pharma,5ml,Tablet,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",621
Betnovate-N 30g SR-2360,Hilton,30g,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",763
Ispaghol 500mg/5ml SR-2361,Ferozsons,500mg/5ml,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1142
Arinac Forte 100mg SR-2362,GSK,100mg,Capsule,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",902
Voltral Gel 10s SR-2363,Pfizer,10s,Ointment,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1079
Septran 10s SR-2364,Novartis,10s,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",630
Bonjela 30g SR-2365,PharmEvo,30g,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,446
Hydrozole 10mg SR-2366,Hilton,10mg,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1206
Canesten 250mg SR-2367,PharmEvo,250mg,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,980
Polyfax 100mg SR-2368,Ferozsons,100mg,Ointment,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,861
Smecta 10s SR-2369,Getz Pharma,10s,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,392
Skinoren 500mg SR-2370,Barrett Hodgson,500mg,Gel,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",743
Cac-1000 100mg SR-2371,Searle,100mg,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,991
Hydryllin 500mg/5ml SR-2372,GSK,500mg/5ml,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",522
Acefyl 250mg SR-2373,PharmEvo,250mg,Syrup,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1364
Ennerzo 500mg SR-2374,PharmEvo,500mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",1441
Co-Amoxiclav 10s SR-2375,Bayer,10s,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",237
Hydrozole 20s SR-2376,Searle,20s,Cream,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1265
Instaflex 1g SR-2377,Bayer,1g,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1201
Panadol 20mg SR-2378,PharmEvo,20mg,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,1063
Hydryllin 5ml SR-2379,Bosch,5ml,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",530
Ventolin 250mg/5ml SR-2380,Sanofi,250mg/5ml,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",152
Dermovate 10mg SR-2381,Getz Pharma,10mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",988
Voltral Gel 250mg SR-2382,Sami,250mg,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,394
Selsun Blue 250mg/5ml SR-2383,Searle,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1148
Hydryllin 5ml SR-2384,GSK,5ml,Syrup,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",1070
Ennerzo 30s SR-2385,Sanofi,30s,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",1216
Acetone 30s SR-2386,Ferozsons,30s,Suspension,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,937
Acetone 250mg/5ml SR-2387,Sanofi,250mg/5ml,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,777
Tusdec 500mg/5ml SR-2388,Barrett Hodgson,500mg/5ml,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",1228
